,Main food description,WWEIA Category description,Energy (kcal),Protein (g),Carbohydrate (g),"Sugars, total
(g)","Fiber, total dietary (g)",Total Fat (g),"Fatty acids, total saturated (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",Cholesterol (mg),Retinol (mcg),"Vitamin A, RAE (mcg_RAE)","Carotene, alpha (mcg)","Carotene, beta (mcg)","Cryptoxanthin, beta (mcg)",Lycopene (mcg),Lutein + zeaxanthin (mcg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),Folic acid (mcg),"Folate, food (mcg)","Folate, DFE (mcg_DFE)","Folate, total (mcg)","Choline, total (mg)",Vitamin B-12 (mcg),"Vitamin B-12, added
(mcg)",Vitamin C (mg),Vitamin D (D2 + D3) (mcg),Vitamin E (alpha-tocopherol) (mg),"Vitamin E, added
(mg)",Vitamin K (phylloquinone) (mcg),Calcium (mg),Phosphorus (mg),Magnesium (mg),"Iron
(mg)","Zinc
(mg)",Copper (mg),Selenium (mcg),Potassium (mg),Sodium (mg),Caffeine (mg),Theobromine (mg),Alcohol (g),"4:0
(g)","6:0
(g)","8:0
(g)","10:0
(g)","12:0
(g)","14:0
(g)","16:0
(g)","18:0
(g)","16:1
(g)","18:1
(g)","20:1
(g)","22:1
(g)","18:2
(g)","18:3
(g)","18:4
(g)","20:4
(g)","20:5 n-3
(g)","22:5 n-3
(g)","22:6 n-3
(g)","Water
(g)",Kosher_Status,Halal_Status,Hinduism_Status,Buddhism_Status,Rastafarianism_Status,Diabetic_Status,Low_Sodium_Status,Low_Fat_Status,Low_Cholesterol_Status,Fructose_Intolerance_Status,Nightshade_Sensitivity_Status,Histamine_Intolerance_Status,Vegan_Status,Vegetarian_Status,Pescatarian_Status,Raw_Food_Diet_Status,Paleo_Status,Keto_Status,Lactose_Intolerance_Status,Gluten_Intolerance_Status,Nut_Allergy_Status,Shellfish_Allergy_Status,Fish_Allergy_Status,Soy_Allergy_Status
190,Kidney,Liver and organ meats,157,27.05,0.0,0.0,0.0,4.61,1.428,0.952,1.129,710,0,0,0,0,0,23,0,0.159,2.946,3.889,0.388,0,82,82,82,509.1,24.7,0.0,0.0,1.1,0.08,0.0,0.0,19,302,12,5.75,2.82,0.56,166.7,134,400,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.644,0.612,0.068,0.861,0.023,0.0,0.621,0.022,0.0,0.439,0.0,0.0,0.0,66.35,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,Sweetbreads,Liver and organ meats,124,22.49,0.0,0.0,0.0,3.08,0.935,0.896,0.312,347,0,0,0,0,0,0,0,0.054,0.099,3.353,0.027,0,20,20,20,207.6,2.83,0.0,39.1,0.0,0.09,0.0,0.0,4,622,24,1.23,2.11,0.071,21.3,432,366,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.041,0.518,0.339,0.059,0.816,0.016,0.0,0.188,0.0,0.0,0.108,0.0,0.0,0.0,73.05,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
192,Brains,Liver and organ meats,150,11.58,1.47,0.0,0.0,10.45,2.375,1.867,1.619,3075,0,6,0,69,0,0,0,0.068,0.215,3.591,0.142,0,5,5,5,487.0,10.02,0.0,10.4,0.0,1.66,0.0,0.1,9,332,12,2.28,1.08,0.228,21.6,242,414,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.966,1.295,0.023,1.654,0.191,0.0,0.039,0.0,0.0,0.352,0.0,0.38,0.848,74.27,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,Tongue,Liver and organ meats,282,19.14,0.0,0.0,0.0,22.12,8.061,10.022,0.74,131,0,0,0,0,0,0,0,0.022,0.292,3.462,0.154,0,7,7,7,153.8,3.1,0.0,1.3,0.4,0.3,0.0,1.2,5,144,15,2.59,4.06,0.147,13.1,183,372,0,0,0.0,0.0,0.0,0.0,0.0,0.024,0.726,4.606,2.328,0.922,8.834,0.075,0.0,0.522,0.09,0.0,0.058,0.0,0.0,0.0,57.41,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,Tripe,Liver and organ meats,89,12.6,0.0,0.0,0.0,3.85,1.348,1.601,0.188,127,0,0,0,0,0,0,0,0.0,0.067,0.828,0.008,0,4,4,4,203.4,1.09,0.0,0.0,0.0,0.09,0.0,0.0,72,67,14,0.62,1.48,0.073,13.1,70,425,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.073,0.671,0.484,0.092,1.476,0.018,0.0,0.121,0.011,0.0,0.05,0.0,0.0,0.0,82.63,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,Chitterlings,Liver and organ meats,231,12.39,0.0,0.0,0.0,20.16,9.444,7.017,1.207,275,0,0,0,0,0,0,0,0.014,0.046,0.086,0.0,0,1,1,1,467.3,0.42,0.0,0.0,0.0,0.23,0.0,0.0,25,65,9,1.46,1.84,0.046,26.8,14,325,0,0,0.0,0.0,0.0,0.02,0.0,0.0,0.287,5.091,3.854,0.365,6.52,0.132,0.0,0.972,0.033,0.0,0.145,0.0,0.0,0.0,67.33,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,Hog maws,Liver and organ meats,250,26.53,0.0,0.0,0.0,15.97,6.338,5.653,1.405,351,0,0,0,0,0,0,0,0.052,0.174,1.757,0.024,0,3,3,3,306.8,0.28,0.0,0.0,0.0,0.06,0.0,0.0,17,143,10,0.95,2.62,0.2,49.0,99,541,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.197,3.565,2.505,0.318,5.228,0.107,0.0,1.14,0.033,0.0,0.173,0.0,0.0,0.0,57.02,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,Gizzard,Liver and organ meats,153,30.15,0.0,0.0,0.0,2.66,0.665,0.524,0.35,367,0,0,0,0,0,0,0,0.026,0.208,3.095,0.07,0,5,5,5,103.6,1.03,0.0,0.0,0.0,0.2,0.0,0.0,17,188,3,3.16,4.38,0.16,40.8,178,363,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.405,0.236,0.073,0.439,0.011,0.0,0.221,0.007,0.0,0.103,0.0,0.0,0.0,67.39,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,"Hot dog, NFS",Frankfurters,310,11.7,2.89,1.26,0.0,28.0,11.4,12.1,0.954,58,3,3,0,0,0,0,0,0.028,0.146,2.025,0.104,0,0,0,0,31.9,0.82,0.0,0.0,0.9,0.51,0.0,1.8,15,122,11,1.14,2.06,0.046,10.3,326,828,0,0,0.0,0.004,0.0,0.005,0.015,0.019,0.84,6.33,3.66,1.07,11.8,0.117,0.064,0.925,0.085,0.003,0.029,0.003,0.013,0.0,54.6,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0
199,"Hot dog, beef",Frankfurters,310,11.7,2.89,1.26,0.0,28.0,11.4,12.1,0.954,58,3,3,0,0,0,0,0,0.028,0.146,2.025,0.104,0,0,0,0,31.9,0.82,0.0,0.0,0.9,0.51,0.0,1.8,15,122,11,1.14,2.06,0.046,10.3,326,828,0,0,0.0,0.004,0.0,0.005,0.015,0.019,0.84,6.33,3.66,1.07,11.8,0.117,0.064,0.925,0.085,0.003,0.029,0.003,0.013,0.0,54.6,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0
200,"Hot dog, meat and poultry",Frankfurters,277,9.72,5.02,2.75,0.0,24.18,7.583,9.929,5.386,78,26,26,0,0,0,0,0,0.04,0.138,2.532,0.05,0,5,5,5,50.2,0.6,0.0,18.0,0.7,0.44,0.0,0.1,106,166,10,1.04,1.14,0.042,12.4,341,828,0,0,0.0,0.0,0.0,0.001,0.02,0.023,0.262,5.062,2.069,0.738,8.924,0.169,0.01,4.82,0.245,0.002,0.108,0.004,0.016,0.007,57.58,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0
201,"Hot dog, reduced fat",Frankfurters,216,13.75,5.1,0.0,0.0,15.66,6.504,7.398,0.869,52,0,0,0,0,0,0,0,0.149,0.128,2.511,0.156,0,3,3,3,58.6,0.88,0.0,0.2,0.5,0.18,0.0,0.3,16,115,10,1.17,2.05,0.062,17.1,203,615,0,0,0.0,0.0,0.0,0.0,0.041,0.033,0.489,3.55,2.138,0.859,6.486,0.0,0.0,0.707,0.148,0.0,0.0,0.0,0.0,0.0,63.3,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0
202,"Hot dog, turkey",Frankfurters,223,12.23,3.81,1.21,0.0,17.29,4.028,5.736,3.949,77,0,0,0,0,0,0,0,0.031,0.172,3.312,0.114,1,6,8,8,48.4,0.7,0.0,0.0,0.6,0.62,0.0,0.0,148,163,13,1.47,1.84,0.071,15.1,372,865,0,0,0.0,0.0,0.0,0.0,0.0,0.007,0.14,2.697,1.108,0.33,5.313,0.049,0.03,3.702,0.193,0.0,0.032,0.0,0.0,0.0,62.99,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0
203,Beef sausage,Sausages,341,13.3,3.37,1.0,0.0,28.7,11.3,12.7,1.91,61,18,18,0,0,0,0,0,0.054,0.132,2.43,0.15,0,7,7,7,38.3,1.13,0.0,19.2,0.1,0.33,0.0,2.8,35,124,20,1.55,2.14,0.075,11.6,263,866,0,0,0.0,0.004,0.0,0.0,0.002,0.018,0.784,6.66,3.47,1.16,12.0,0.112,0.016,1.79,0.096,0.001,0.046,0.0,0.009,0.002,51.7,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0
204,Blood sausage,Sausages,379,14.6,1.29,1.29,0.0,34.5,13.4,15.9,3.46,120,0,0,0,0,0,0,0,0.07,0.13,1.2,0.04,0,5,5,5,72.8,1.0,0.0,0.0,1.3,0.13,0.0,0.0,6,22,8,6.4,1.3,0.04,15.5,38,680,0,0,0.0,0.0,0.0,0.0,0.0,0.03,0.62,8.3,4.41,0.88,15.0,0.0,0.0,3.2,0.26,0.0,0.0,0.0,0.0,0.0,47.3,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0
205,Bratwurst,Sausages,333,13.72,2.85,0.0,0.0,29.18,9.998,14.692,2.632,74,2,2,0,0,0,0,0,0.459,0.307,4.795,0.327,0,3,3,3,94.0,0.73,0.0,0.0,1.1,0.26,0.0,3.4,28,208,21,0.53,3.25,0.104,39.7,348,846,0,0,0.0,0.0,0.0,0.0,0.013,0.013,0.335,6.207,3.429,0.866,13.561,0.265,0.0,2.419,0.099,0.0,0.114,0.0,0.0,0.0,51.45,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0
206,Bologna,Cold cuts and cured meats,281,10.34,6.31,1.97,0.0,23.77,7.389,10.269,4.59,92,0,0,0,0,0,0,0,0.047,0.158,3.187,0.193,0,7,7,7,59.3,0.47,0.0,0.0,0.8,0.59,0.0,1.7,125,212,15,1.24,1.06,0.035,14.4,320,1100,0,0,0.0,0.0,0.0,0.0,0.02,0.017,0.0,5.255,1.967,0.925,8.977,0.192,0.089,4.086,0.208,0.003,0.1,0.003,0.014,0.006,55.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,"Bologna, reduced fat",Cold cuts and cured meats,204,11.8,5.2,0.0,0.0,14.8,5.464,6.455,0.51,44,0,0,0,0,0,0,0,0.05,0.1,2.5,0.15,0,5,5,5,53.3,1.4,0.0,1.0,0.4,0.19,0.0,0.3,9,178,12,1.0,1.83,0.03,12.4,147,821,0,0,0.0,0.0,0.0,0.0,0.037,0.019,0.407,3.106,1.894,0.767,5.688,0.0,0.0,0.398,0.112,0.0,0.0,0.0,0.0,0.0,65.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,Chorizo,Sausages,341,19.3,2.63,0.0,0.0,28.1,9.45,11.7,4.74,107,0,0,0,0,0,0,0,0.365,0.42,7.06,0.554,0,10,10,10,97.1,1.21,0.0,0.0,1.5,1.5,0.0,6.0,37,207,30,2.34,2.19,0.13,25.9,435,983,0,0,0.0,0.006,0.0,0.003,0.02,0.022,0.346,5.9,3.0,0.573,10.9,0.247,0.006,4.18,0.189,0.0,0.128,0.003,0.02,0.005,46.3,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
209,Head cheese,Cold cuts and cured meats,157,13.83,0.0,0.0,0.0,10.9,3.402,5.601,1.134,69,0,0,0,0,0,0,0,0.023,0.115,0.44,0.19,0,2,2,2,104.1,1.05,0.0,0.0,0.9,0.25,0.0,3.4,16,56,9,1.5,0.97,0.122,0.1,31,941,0,0,0.0,0.0,0.0,0.0,0.021,0.014,0.187,2.13,1.051,0.574,5.027,0.0,0.0,1.003,0.131,0.0,0.0,0.0,0.0,0.0,73.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,Knockwurst,Sausages,307,11.1,3.2,0.0,0.0,27.7,10.21,12.81,2.92,60,0,0,0,0,0,0,0,0.342,0.14,2.734,0.17,0,2,2,2,55.0,1.18,0.0,0.0,1.1,0.57,0.0,1.6,11,98,11,0.66,1.66,0.06,13.5,199,930,0,0,0.0,0.0,0.0,0.0,0.11,0.09,0.58,5.97,3.46,1.28,11.53,0.0,0.0,2.48,0.44,0.0,0.0,0.0,0.0,0.0,55.3,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0
211,Mortadella,Cold cuts and cured meats,311,16.37,3.05,0.0,0.0,25.39,9.51,11.38,3.12,56,0,0,0,0,0,0,0,0.119,0.153,2.673,0.13,0,3,3,3,72.2,1.48,0.0,0.0,1.0,0.22,0.0,1.6,18,97,11,1.4,2.1,0.06,22.6,163,1246,0,0,0.0,0.0,0.0,0.0,0.12,0.07,0.51,5.43,3.23,1.14,10.24,0.0,0.0,2.91,0.22,0.0,0.0,0.0,0.0,0.0,52.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,"Pastrami, NFS",Cold cuts and cured meats,147,21.8,0.36,0.1,0.0,5.82,2.681,2.118,0.145,68,0,2,0,22,6,0,11,0.052,0.161,4.26,0.221,0,6,6,6,81.6,1.87,0.0,0.3,0.1,0.12,0.0,0.7,10,175,17,2.22,4.98,0.091,17.7,210,1078,0,0,0.0,0.0,0.0,0.0,0.006,0.006,0.223,1.654,0.792,0.209,1.905,0.004,0.0,0.116,0.011,0.0,0.018,0.0,0.0,0.0,69.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,"Pepperoni, NFS",Cold cuts and cured meats,504,19.25,1.18,0.0,0.0,46.28,17.708,20.77,4.458,97,0,0,0,0,0,0,0,0.271,0.257,4.987,0.362,0,5,5,5,51.2,1.3,0.0,0.0,1.3,1.03,0.0,5.8,19,158,18,1.33,2.44,0.091,29.0,274,1582,0,0,0.0,0.003,0.001,0.002,0.028,0.034,1.029,10.316,5.749,1.367,18.69,0.255,0.004,3.91,0.168,0.0,0.113,0.004,0.02,0.004,28.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,"Pepperoni, reduced fat",Cold cuts and cured meats,378,21.07,0.72,0.26,0.0,31.65,11.418,14.717,4.895,108,11,11,0,0,0,0,0,0.386,0.196,6.105,0.441,0,0,0,0,72.6,1.15,0.0,0.0,0.9,0.64,0.0,0.0,24,192,20,1.36,2.67,0.096,33.6,363,1756,0,0,0.0,0.0,0.0,0.002,0.048,0.026,0.517,7.046,3.531,0.843,13.433,0.243,0.023,4.264,0.181,0.001,0.136,0.004,0.021,0.007,41.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,Polish sausage,Sausages,337,12.45,5.03,2.39,0.0,29.68,9.894,12.564,5.383,73,9,9,0,0,0,0,0,0.15,0.212,3.727,0.097,0,0,0,0,41.8,0.72,0.0,14.7,0.9,0.38,0.0,0.0,42,204,16,0.99,1.53,0.056,19.8,306,1062,0,0,0.0,0.0,0.0,0.003,0.03,0.026,0.393,6.236,2.996,0.711,11.389,0.248,0.08,4.728,0.253,0.001,0.109,0.004,0.019,0.007,49.38,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0
216,Italian sausage,Sausages,317,18.2,2.15,1.46,0.0,26.2,9.15,11.6,4.96,80,22,22,0,0,0,0,0,0.31,0.242,5.73,0.343,0,0,0,0,70.4,1.06,0.0,0.0,1.0,0.8,0.0,0.0,12,145,19,1.29,2.41,0.074,20.2,310,766,0,0,0.0,0.006,0.0,0.002,0.016,0.017,0.335,5.71,2.9,0.583,10.8,0.297,0.009,4.36,0.18,0.0,0.125,0.005,0.024,0.003,50.9,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0
217,"Sausage, NFS",Sausages,325,18.53,1.42,1.09,0.0,27.25,8.826,11.541,5.115,86,28,28,0,0,0,0,0,0.256,0.176,6.119,0.195,0,1,1,1,62.3,0.98,0.0,0.0,1.4,0.9,0.0,0.0,9,149,16,1.2,2.45,0.071,20.7,342,814,0,0,0.0,0.0,0.0,0.001,0.024,0.02,0.322,5.545,2.749,0.557,10.578,0.334,0.006,4.446,0.146,0.0,0.123,0.002,0.025,0.003,49.89,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0
218,Pork sausage,Sausages,325,18.53,1.42,1.09,0.0,27.25,8.826,11.541,5.115,86,28,28,0,0,0,0,0,0.256,0.176,6.119,0.195,0,1,1,1,62.3,0.98,0.0,0.0,1.4,0.9,0.0,0.0,9,149,16,1.2,2.45,0.071,20.7,342,814,0,0,0.0,0.0,0.0,0.001,0.024,0.02,0.322,5.545,2.749,0.557,10.578,0.334,0.006,4.446,0.146,0.0,0.123,0.002,0.025,0.003,49.89,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0
219,"Salami, NFS",Cold cuts and cured meats,378,21.07,0.72,0.26,0.0,31.65,11.418,14.717,4.895,108,11,11,0,0,0,0,0,0.386,0.196,6.105,0.441,0,0,0,0,72.6,1.15,0.0,0.0,0.9,0.64,0.0,0.0,24,192,20,1.36,2.67,0.096,33.6,363,1756,0,0,0.0,0.0,0.0,0.002,0.048,0.026,0.517,7.046,3.531,0.843,13.433,0.243,0.023,4.264,0.181,0.001,0.136,0.004,0.021,0.007,41.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,"Scrapple, cooked",Sausages,227,8.57,14.96,0.21,0.3,14.76,5.034,6.549,1.77,52,499,499,0,0,0,0,0,0.08,0.229,1.814,0.077,0,2,2,2,73.2,0.23,0.0,1.3,0.3,0.16,0.0,3.6,6,61,10,1.31,0.85,0.214,18.5,143,385,0,0,0.0,0.0,0.0,0.0,0.01,0.015,0.178,3.184,1.648,0.419,6.021,0.109,0.0,1.435,0.276,0.0,0.06,0.0,0.0,0.0,60.07,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0
221,Thuringer,Sausages,362,17.45,3.33,0.85,0.0,30.43,11.51,12.97,1.2,74,0,0,0,0,0,0,0,0.15,0.33,4.31,0.26,0,2,2,2,78.9,5.5,0.0,16.6,1.1,0.22,0.0,1.3,9,111,14,2.04,2.56,0.15,20.3,260,1300,0,0,0.0,0.0,0.0,0.0,0.11,0.08,0.8,6.35,4.17,1.76,11.21,0.0,0.0,0.99,0.21,0.0,0.0,0.0,0.0,0.0,45.18,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0
222,Pickled sausage,Sausages,314,18.06,2.13,1.45,0.0,25.99,9.077,11.508,4.921,79,22,22,0,0,0,0,0,0.308,0.24,5.685,0.34,0,0,0,0,69.8,1.05,0.0,0.0,1.0,0.79,0.0,0.0,12,144,19,1.28,2.39,0.073,20.0,308,1067,0,0,0.0,0.006,0.0,0.002,0.016,0.017,0.332,5.665,2.877,0.578,10.714,0.295,0.009,4.325,0.179,0.0,0.124,0.005,0.024,0.003,50.5,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0
223,"Luncheon meat, NFS",Cold cuts and cured meats,101,16.7,0.27,0.0,0.0,3.73,1.12,1.47,0.544,41,0,0,0,0,0,0,0,0.336,0.266,5.697,0.394,0,0,0,0,62.4,0.36,0.0,0.0,0.6,0.29,0.0,0.0,5,261,19,0.58,1.52,0.05,31.6,425,890,0,0,0.0,0.0,0.0,0.0,0.003,0.001,0.042,0.71,0.348,0.09,1.36,0.027,0.0,0.447,0.013,0.0,0.053,0.0,0.005,0.001,75.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,Spam,Cold cuts and cured meats,315,13.4,4.6,0.0,0.0,26.6,9.987,13.505,2.019,71,0,0,0,0,0,0,0,0.317,0.176,3.53,0.218,0,3,3,3,68.5,0.45,0.0,0.0,0.6,0.42,0.0,0.0,0,151,14,0.64,1.59,0.051,22.9,409,1411,0,0,0.0,0.0,0.0,0.0,0.024,0.024,0.354,6.211,3.374,0.852,12.434,0.219,0.0,1.891,0.076,0.0,0.052,0.0,0.0,0.0,51.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,Liverwurst,Cold cuts and cured meats,327,14.5,3.1,0.0,0.0,28.5,9.307,12.731,3.193,180,4220,4220,0,0,0,0,0,0.249,1.525,8.368,0.33,0,44,44,44,255.9,20.09,0.0,0.0,1.2,0.35,0.0,1.6,9,168,11,11.2,2.81,0.24,58.0,199,977,0,0,0.0,0.0,0.0,0.0,0.051,0.111,0.333,5.763,3.048,1.025,11.706,0.0,0.0,2.852,0.342,0.0,0.0,0.0,0.0,0.0,50.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,Ham salad spread,Cold cuts and cured meats,216,8.68,10.64,0.0,0.0,15.53,5.049,7.171,2.689,37,0,0,0,0,0,0,0,0.435,0.12,2.095,0.15,0,1,1,1,69.0,0.76,0.0,0.0,0.7,1.74,0.0,0.0,8,120,10,0.59,1.1,0.07,17.8,150,1075,0,0,0.0,0.0,0.0,0.0,0.02,0.01,0.159,3.187,1.673,0.468,6.703,0.0,0.0,2.36,0.329,0.0,0.0,0.0,0.0,0.0,62.6,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
227,"Fish, raw",Fish,94,17.22,0.0,0.0,0.0,2.34,0.557,0.856,0.517,55,8,8,0,0,0,0,0,0.038,0.059,2.101,0.147,0,14,14,14,59.4,2.18,0.0,0.0,1.3,0.51,0.0,0.9,18,219,22,0.32,0.5,0.039,26.2,272,83,0,0,0.0,0.0,0.0,0.0,0.0,0.001,0.039,0.394,0.111,0.08,0.728,0.032,0.002,0.249,0.035,0.012,0.038,0.037,0.02,0.092,80.34,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
228,"Fish, NFS",Fish,238,19.32,6.64,0.12,0.3,14.52,2.838,5.276,4.531,56,28,29,0,4,0,0,6,0.157,0.133,5.538,0.325,11,18,37,29,69.4,2.4,0.0,0.9,5.3,2.88,0.0,8.7,17,229,27,0.86,0.46,0.063,26.4,329,350,0,0,0.0,0.014,0.01,0.006,0.014,0.017,0.268,1.842,0.549,0.347,4.704,0.195,0.005,3.09,0.405,0.045,0.047,0.286,0.138,0.409,58.36,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
229,"Fish, canned",Fish,156,23.19,0.0,0.0,0.0,6.3,1.857,2.225,1.651,79,130,130,0,0,0,0,0,0.04,0.212,6.18,0.21,0,5,5,5,85.0,6.94,0.0,0.9,7.3,1.03,0.0,0.1,241,301,37,2.04,1.02,0.147,37.7,194,379,0,0,0.0,0.0,0.0,0.0,0.0,0.007,0.289,1.185,0.376,0.4,1.132,0.278,0.414,0.099,0.043,0.106,0.069,0.434,0.104,0.796,69.17,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
230,"Fish, smoked",Fish,116,25.23,0.0,0.0,0.0,0.96,0.173,0.157,0.321,77,24,24,0,0,0,0,0,0.047,0.049,5.073,0.4,0,15,15,15,92.3,1.6,0.0,0.0,0.8,0.55,0.0,0.1,49,251,54,1.4,0.5,0.042,42.9,415,763,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.117,0.044,0.023,0.089,0.013,0.031,0.012,0.003,0.004,0.031,0.079,0.025,0.168,71.48,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0
231,"Fish, stick",Fish,277,11.01,21.66,1.65,1.5,16.23,3.733,3.193,7.824,28,3,4,0,3,2,0,42,0.122,0.116,1.536,0.078,0,24,24,24,42.8,0.96,0.0,0.0,0.0,6.88,0.0,4.7,16,191,25,0.84,0.42,0.059,15.7,185,402,0,0,0.0,0.004,0.0,0.006,0.007,0.004,0.116,3.084,0.408,0.08,3.052,0.049,0.002,7.42,0.248,0.002,0.007,0.05,0.004,0.088,49.5,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
232,"Fish, anchovy",Fish,210,28.89,0.0,0.0,0.0,9.71,2.203,3.77,2.562,85,12,12,0,0,0,0,0,0.078,0.363,19.903,0.203,0,13,13,13,85.0,0.88,0.0,0.0,1.7,3.33,0.0,12.1,232,252,69,4.63,2.44,0.339,68.1,544,3668,0,0,0.0,0.0,0.0,0.0,0.0,0.02,0.428,1.326,0.42,0.59,2.942,0.009,0.163,0.362,0.017,0.078,0.01,0.763,0.041,1.292,50.3,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
233,"Fish, carp",Fish,213,19.97,7.79,0.14,0.3,10.72,2.387,4.11,2.889,77,29,30,0,9,0,0,7,0.199,0.104,2.4,0.217,13,17,39,30,73.0,1.46,0.0,1.3,26.0,1.36,0.0,4.0,53,451,34,1.88,1.65,0.078,15.3,366,314,0,0,0.0,0.032,0.022,0.013,0.03,0.036,0.234,1.384,0.454,0.714,2.813,0.096,0.421,1.778,0.432,0.061,0.161,0.25,0.087,0.119,60.48,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
234,"Fish, catfish, NFS",Fish,255,13.49,11.72,0.2,0.5,16.68,2.658,7.005,5.475,48,3,3,0,0,0,0,10,0.158,0.133,2.627,0.118,20,11,45,31,56.3,2.0,0.0,0.0,0.2,2.86,0.0,13.6,21,178,19,1.07,0.51,0.052,9.4,254,418,0,0,0.0,0.0,0.0,0.0,0.0,0.002,0.049,1.907,0.58,0.148,6.688,0.134,0.002,4.704,0.573,0.002,0.034,0.013,0.011,0.043,57.25,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
